cluster,gene,,,,,,,,,,,,,,,,
2,NNNJPOIF_00025,AAMILBOI_00046,,,,,,,,,,,,,,,
8,PHBHOCAB_00002,IFAAAHMD_00008,BLGPNOEN_00002,AEAFPCAL_00003,CKIFJHEA_00005,PODMHCNB_00003,LKIPDCDL_00003,AGBBPLPD_00005,,,,,,,,,
6,BDFALBBM_00002,PNMLNJBE_00002,OCFEKFOI_00002,MGICCDHI_00002,DINEAAHN_00002,CIDHKLLJ_00002,,,,,,,,,,,
9,MFDAJPNO_00010,AOKLCGBP_00007,EJFJIICA_00038,DPNMAKPO_00005,PJLGEPAM_00005,MJBPLCNM_00004,HCNAFKMD_00004,LLGBBFNI_00004,KLDBMHLK_00010,,,,,,,,
3,OFJEEBPC_00006,LBIPJCMD_00011,EJFNCMDJ_00004,,,,,,,,,,,,,,
4,CMLBKDKH_00051,OFJEEBPC_00012,MMFDLKPG_00005,FDHBDHLF_00003,,,,,,,,,,,,,
8,IJBBBJFL_00003,BLNAMFJI_00003,EFCNCDAE_00003,OLLBDPFH_00003,JKDDPJPH_00003,GBPBBHJG_00003,PLPEKCAF_00003,CFLMPIEH_00003,,,,,,,,,
3,PDHDOIKH_00040,PPEAPJEI_00014,MDFJFFIF_00049,,,,,,,,,,,,,,
16,EOLKNJBM_00007,OONAPPJM_00004,ADIJKJOK_00003,HGDEFLKI_00003,LEMLAGCJ_00003,KHDAMHGJ_00007,CNEAMKEG_00008,KCDPKGBJ_00002,PAJFPAMC_00007,LNHEDDDO_00004,AMJMGKGB_00004,IBPBOOHP_00008,MOBHADPN_00003,AONIEPPH_00004,LFKNGEEF_00003,MIIMDJNA_00003,
2,MDFJFFIF_00018,PDHDOIKH_00009,,,,,,,,,,,,,,,
2,APIDFFDB_00007,MJNGFAHC_00007,,,,,,,,,,,,,,,
4,MMFDLKPG_00004,OFJEEBPC_00011,CMLBKDKH_00052,FDHBDHLF_00002,,,,,,,,,,,,,
3,FANIDGOH_00007,COBEFPMI_00014,GFNEAOIK_00015,,,,,,,,,,,,,,
5,CMLBKDKH_00009,DOACAIIE_00002,GJOHIMGI_00002,FBIDEFON_00002,MKBNMLOM_00002,,,,,,,,,,,,
12,EEDEHMMM_00003,HFFEDDFJ_00016,MJEIIJNA_00002,NDDFKPPL_00008,CNEAMKEG_00057,MCEDKLEK_00003,EBMHDCHI_00003,CHGBHGMI_00018,CANDCAGL_00007,MKPCJEJK_00017,CIEIPNNI_00028,MJFNOHPL_00007,,,,,
4,KDAPJLLE_00010,BLHOFFBM_00010,DELJAAJL_00008,GGDNMJNA_00006,,,,,,,,,,,,,
1,EFEAKEDL_00048,,,,,,,,,,,,,,,,
2,IOJIKLIK_00050,AHBMAPJE_00010,,,,,,,,,,,,,,,
10,GMIBJNNK_00003,PFPKOGCO_00003,AGELIOHP_00002,JJAHEJNG_00003,CEGFEPDD_00004,EJFJIICA_00004,LJJJCJKM_00002,KAFMMDNG_00004,IKJBLBIK_00004,POJEAIJC_00004,,,,,,,
4,BBCIJOPN_00007,OOHHBMED_00024,KPFLFOMC_00007,KNBJAHMG_00007,,,,,,,,,,,,,
